Overall Rating,Comments,Feedback Category
Satisfied,Promo code READS did not stay in my cart but I sent you an email asking for help,Bonus Points/Rewards/Promos
Neutral,"I saw a book in  the Social Studies section and I clicked on it - Amelia Earhart, and it did not come up.  I even did a search and it didn't come up.",Products Offered/ Availability
Very Satisfied,I was directed to other sites within Scholastic which has never happened before.,Website- General Comment/Navigation
Satisfied,I'd like to know if your issues have been fixed? Orders from last year took so long that my students/families quit ordering almost completely.,Prior Year Shipping Delay
Satisfied,"Every spring and/or summer I receive coupon codes to use for the fall book order, and every year they do not work when I place the order.  Last year, I called in and the operator had not hear of the coupons and could not find them in her system. This year I had the same issue, but I was unable to call anyone due to the offices being closed on Saturday.  I will try again to call next week.  This year I kept the emails and information about what the coupons were for and the amount of bonus points, not just the coupon codes.",Bonus Points/Rewards/Promos
Satisfied,Last year it took months for orders to be filled. I thought I'd give Scholastic another chance. I hope you have the staff and your paperwork figured out this year!,Prior Year Shipping Delay
Very Satisfied,Easy way to order books,Thanks/Praise
Satisfied,"It is my first time.  I’m getting familiar with it.  My son loves books, and we encourage him.",Thanks/Praise
Very Satisfied,will be getting books after we decide which ones.,Intend To Order in Future
Neutral,I havent gotten to really look without being prompted to take this survey first.,Website- Survey Pop Up Issue
Neutral,I just created my first class account after 20 years and found the site very user friendly!!  Thank you!!,Thanks/Praise
Neutral,Options are not many and it is hard to navigate.,Website- General Comment/Navigation
Neutral,difficult to find the 6books section???,Website- General Comment/Navigation
Satisfied,"Navigation is not easy.      After a while, I was able to figure it out because it is Saturday evening and I have time.  However, I am unsure if I can frequent this site while at school, as it will take to much of my time.",Website- General Comment/Navigation
Very Satisfied,I left one student order at school.  I will have to finish when I get back to school.,Intend To Order in Future
Very Satisfied,It’s wasy,Thanks/Praise
Neutral,More girl books for empowering,Products Offered/ Availability
Very Satisfied,Better and easier to use...,Thanks/Praise
Very Satisfied,Great organization and did not error code when I used my bonus point codes!,Thanks/Praise
Very Satisfied,Great affordable books. I love that there is often a deal for a free book!,Thanks/Praise
Neutral,when having two kids it takes bit to figure it out.      Id like to be able to search according to interest or reading level.  I tried but could not accomplish it as well as I thought,Website- Filter/Search Options
Very Satisfied,I’m excited Scholastic is still doing things with classrooms. I remember how exciting Scholastic Book Fairs were.,Thanks/Praise
Neutral,Good,Thanks/Praise
Neutral,For a first time user it was hard to figure out if was supposed to creat an account after typing in the classroom code.  There isn't a button below the classroom code location to click. You have to exit from that screen which then links you to the correct page.  Now I have a teacher account set up and I'm not a teacher.,Connecting Teacher/Class Code
Satisfied,Wondering why I would see a lot more books when we. We’re in public schools vs how few profiled  books are  viewable as a parent at a private school.,All Other
Neutral,Website design is lacking in maneuverability and layout seems cluttered,Website- General Comment/Navigation
Satisfied,Sometimes get lost when maneuvering through the website.,Website- General Comment/Navigation
Neutral,"It is sometimes difficult to find books on your website in the topics and age group that I am looking for. I always come here first, but I get fed up frequently and go to Amazon. I would prefer to buy from you.",Website- Filter/Search Options
Very Satisfied,My kids are so happy to soon be receiving their books!,Thanks/Praise
Very Satisfied,Really easy!,Thanks/Praise
Satisfied,not sure why you can't go to book club and regular scholastic site,Website- General Comment/Navigation
Satisfied,"I would like to order some books about apples, but having a difficult time finding them.  I would also like to receive order forms to send home to my students.  I have 20 kids this year.",Kits
Very Satisfied,It's wonderful - we can add the on-line orders from parents using this site.,Thanks/Praise
Satisfied,"I wish I have some option to be able to order indivisual book also along with in a pack style.  I have purchased several different series (ex, Owl diaries and Unicorn diaries) in a pack series style.  However I wish I could purchase book #5 alone as an option also.",Products Offered/ Availability
Neutral,I tried entering the code READS for a $5 free book pick and it kept telling me that code was expired despite the fact that that is the code listed under the tab current promotions at the top of the webpage and it's also the code on the physical flyers that were sent home with from my child's teacher.  I would like to have that $5 free book pick credited to my account.  I am also a teacher and experienced a lot of difficulties last year with book clubs and orders coming on time so was hoping that wouldn't be an issue this year but seems we're already having issues again.,Bonus Points/Rewards/Promos
Satisfied,It was too slow.,Website- General Comment/Navigation
Very Satisfied,"I'd really like the shipping fee to go away. Usually my order is over $25 and submitted online so that we don't have the fee, just by chance. I can't always promise that will be met though, and then who pays shipping fees? To make it a friendly purchase, shipping fees need not be a worry for educators using your product. Even if that means the books have a built in shipping cost on the price tag.",Price
Very Satisfied,Love scholastic keep doing what you're doing!,Thanks/Praise
Very Disappointed,Trying to steal money out of my account without me making any purchases and not being active on the site so very confused decided to cancel my card and remove it from your site,All Other
Satisfied,I kept being logged out.,Website- General Comment/Navigation
Neutral,"I have not been an active Scholastic user since I became a literacy teacher,    I did not have a regular classroom, so I did not need to use the book clubs for a variety of grades. .  I had lots of unused points when I was in another district long ago and would like to know if I can use those points.  I will become a 4th grade teacher Tuesday, I need to create a classroom library.  In the past my parents did not order on line.     How quickly are book orders being processed this year?  I had heard there were delivery problems during the pandemic.  I would like to send an order out as soon as I receive the book club papers.",Connecting Teacher/Class Code
Very Satisfied,Our oldest didn't have the website as an option for a long time so I absolutely love the ease of using this site for our youngest!,Thanks/Praise
Very Satisfied,When entering the information it was difficult at first after Registration to find the school code it didn’t take me there immediately. I had to log out and go back in,Connecting Teacher/Class Code
Very Satisfied,I like to see more books for 1.00  if possible,Price
Very Satisfied,"Excellent website! I wish I could choose the amount I could donate rather than 1, 2, 5 ,10...being able to enter an amount would be great!",All Other
Neutral,Very user friendly!,Thanks/Praise
Neutral,Sucks when ordering online you pay sales tax but don't when using paper order form.,Price
Satisfied,"Sometimes getting to the book fair on my cellphone is confusing, because the first page that pops up isn’t my home page. I have figured it out after a few visits last year though.",Website- Mobile Compatability
Neutral,I love that you guys provide this still for kids.  I remember when I was in elementary school and I loved getting these books,Thanks/Praise
Neutral,It is not easy to search on this site.  Also the options for 2nd grader seemed limited.,Website- Filter/Search Options
Neutral,"It was difficult to figure out how to change my child’s teacher for the new academic year, confounded by two listings for the preschool, one of which does not work. (Of course, this latter may not be Scholastic’s fault.) I also had some slight difficulties getting buttons to appear above typing boxes on my phone while trying to change the teacher.  Otherwise, I love Scholastic Books and remember the flyers fondly from my own school days.",Connecting Teacher/Class Code
Neutral,I feel the letter provided to my parents was not friendly.  It was awkward and I would not use it and would probably not order if I were receiving it as a parent.,All Other
Neutral,"When I tried to look inside of some of the books, I just got a blank page.",Products Offered/ Availability
Neutral,Not understanding all the difference clubs you’re talking about just wants to order books for my son that I can read to him.,Website- General Comment/Navigation
Neutral,Wanted to look at Honey Bee flyer too. Could not access it.,Website- General Comment/Navigation
Neutral,It asked if I wanted to complete the survey after my order the. I clicked yes it took me directly to the survey.,Website- Survey Pop Up Issue
Very Satisfied,This is my first order of the year. I did not order last year due to the extended time it took to get the books delivered. I'm hoping that this problem has been resolved and I can expect my books delivered in a reasonable amount of time. I would love to continue to use Scholastic Books again!,Prior Year Shipping Delay
Satisfied,Got to this page before I was done ordering,Website- Survey Pop Up Issue
Neutral,The site isn’t mobile friendly on all pages.,Website- Mobile Compatability
Very Satisfied,It was very easy to submit orders for two grandkids.,Thanks/Praise
Satisfied,Im not sure if it was my device or the site but it kept zooming in too much.,Website- Mobile Compatability
Neutral,It took way too long to find where I was going.,Website- General Comment/Navigation
Very Satisfied,EASY TO USE - EASY TO SEE WHERE TO ENTER THE BOOK AND CLASS CODES,Thanks/Praise
Very Satisfied,Everything was super easy to locate and also attaching it to the child’s teacher.,Thanks/Praise
Very Satisfied,I am about to submit my order when the survey poped up! So I’ll place here soon! :),Website- Survey Pop Up Issue
Very Disappointed,"I cannot get logged in with my email address. It says The account associated with this email address may not be active. For help, call 1-800-724-6527. When I called the number it says that they are closed.",Website- General Comment/Navigation
Satisfied,It was hard to see the free books to choose from on the mobile website.,Website- Mobile Compatability
Very Satisfied,Love the easiness of using this site.   My students love getting books delivered from Scholastic.,Thanks/Praise
Satisfied,"I am looking for a place to request Flyers to be sent to me, but I can't seem to find a spot to put a request in. I want to send the flyers home with the students asap, but haven't received any flyers yet.",Kits
Disappointed,"I am both a teacher and parent.  I had a ton of difficulty initially signing up back in 2020 and some how signed up as a teacher.  Although I am a teacher I do not do book clubs.   I did find your hidden feature to shop as a parent, but it got really frustrating after that to find my child's teacher from there.  As a teacher, I know parents and students want a giant, obvious buttons.  I want it to be user friendly to find their teacher and order.  I also get irritated when the items I try to order during book fairs are not available for some odd reason.  I do not want to give my child a blank check, but I would purchase in advance and pick up on site.",Connecting Teacher/Class Code
Satisfied,Sometimes I wish there were more books to choose from.,Products Offered/ Availability
Neutral,"I was in the middle of trying to order when a request to survey popped up. It asked if I’d complete it once I was done. When I said yes, it took me here and I couldn’t finish my order at this time. It was annoying. I gave a yes for the order assuming it would tout me back one e done. Here’s to hoping.",Website- Survey Pop Up Issue
Very Satisfied,"I am looking forward to getting my box in a timely manner this year.  I am, however, very disappointed that my families do not have access to $1 book choices any longer.    Please note, my rating below is dependent upon how quickly I receive my order.",Prior Year Shipping Delay
Very Disappointed,"It is very difficult to make an order for my children's classrooms when I am a teacher, too. Why can't I switch between parent and teacher?",Website- General Comment/Navigation
Satisfied,I was disappointed to see that shipping to the house was no longer an option if you placed an order through your child’s teacher.,All Other
Very Satisfied,I have not received any book order forms from scholastic for this school year yet.  Would love to send them out to my parents.,Kits
Disappointed,Inadequate search results looking for an ewallet,Account Balance/Payment
Very Satisfied,Easy experience.,Thanks/Praise
Disappointed,"Had trouble just navigating through the selections. Could not get the code right for free book.   Like the old fashioned paper copy of the order form.   I’m grandma, and I love buying her books. It’s just that each time the model number of my phone goes up, my IQ goes down.",Website- General Comment/Navigation
Very Satisfied,I set up my Class Page and added some items to our Classroom Wishlist. Process was easy and simple.,Thanks/Praise
Satisfied,i tried to add 10.00 to e thing lol. it is weekend so i hope tues it shows up. on the bal it dos not,Account Balance/Payment
Very Satisfied,Great website friendly and easy to use.,Thanks/Praise
Neutral,Please stop promoting woke lgbt books to young children.,Products Offered/ Availability
Very Satisfied,"Easy to navigate the site and find what I'm looking for,  thanks for making it easy to share the parent letter through whatever tech I already use (instead of making me share it only through your site) by being able to copy it.",Thanks/Praise
Satisfied,"The dollar books shouldn't have to be ""unlocked."" They used to be clearly easy to find.",Bonus Points/Rewards/Promos
Very Satisfied,Everything worked great,Thanks/Praise
Very Satisfied,"I am both a parent and a teacher. But, I sent out an order form to my new class as a teacher and now can only access as a parent, so my class cannot order since I am no longer listed as a teacher too... Not sure how this occurred, but it says I must call to fix this. I searched by my class code TKGD7 and by my school (Thornebrooke Elementary) and I am no longer listed. :(  I hope this is fixable soon.  I usually do not have problem with scholastic. I have been a happy customer for years.",All Other
Very Satisfied,Very easy to get started and navigate through the site.,Thanks/Praise
Satisfied,Not the easiest site to navigate (mobile) but a great selection of books!,Website- Mobile Compatability
Very Satisfied,"The site was very easy to use and provided a lot of good information. As long as my order is delivered within a reasonable time frame, I will be very satisfied.",Prior Year Shipping Delay
Very Satisfied,"There's a book advertised in email from the Scholastic  Teacher store that i've wanted to order for the last 2 years, but I can't find it in the book clubs.  It's called I Forgot:  The day I forgot to wash my hands.",Products Offered/ Availability
Very Disappointed,"Still disappointed at the dwindling amount of Spanish language titles available, as well as the bonus point/free options not including any titles in Spanish is  a shame given you have a catalogue dedicated to Spanish language titles.",Products Offered/ Availability
Very Satisfied,"sdfghjklkjuhygtfdcvbnm,./",All Other
Neutral,Its very hard to shop because its not organized in a way to easily checkout and browse.,Website- General Comment/Navigation
Satisfied,I wish that I could have the flyers shipped to my home instead of the school because I don't always get the flyers in a timely manner.,Kits
Neutral,It is not very phone-friendly.,Website- Mobile Compatability
Very Satisfied,Site and Flyers are easy to browse The pop up descriptions were very helpful!,Thanks/Praise
Neutral,Navigation/sorting could use some tweaking to minimize the amount of selection/space it takes up,Website- Filter/Search Options
Neutral,Not a good set up on the iPhone,Website- Mobile Compatability
Very Satisfied,Great!,Thanks/Praise
Very Satisfied,"Wish you had more books by Audrey Wood, Eric Carle, Tomie dePoala, and Jan Brett",Products Offered/ Availability
Very Disappointed,I ordered books three weeks ago and the order status has not changed. There is no estimated date of delivery or way to check ot.,All Other
Disappointed,I really wish this site was easier to navigate via smart phone. It was very difficult to see everything that was offered.,Website- Mobile Compatability
Neutral,Still working on order,All Other
Neutral,It was hard to choose the free book it didn’t fit on page so I didn’t know what exactly I was looking at,Website- General Comment/Navigation
Satisfied,"Sometimes it's hard to find what I'm looking for.    My teaching assignment changed and now I teach an average of 48 students total, so I'm requesting 50 catalogs for all levels appropriate for 4th grade.  Thank you.",Website- General Comment/Navigation
Neutral,trying to figure out where to add in my school code,Connecting Teacher/Class Code
Very Satisfied,"Super easy to create an account, find my child's teacher, and enter the codes from the Scholastic flyer. The whole thing took maybe 5 minutes. Thank you1",Thanks/Praise
Very Satisfied,Easy for multiple kids in classes!,Thanks/Praise
Satisfied,Easy to sign in and place an order.,Thanks/Praise
Satisfied,How to look up for the book,Website- Filter/Search Options
Very Satisfied,Flyer said we would get a free 5 dollar book for  Orders over 25 but the checkout did not reflect that deal,Bonus Points/Rewards/Promos
Neutral,This website is very easy to use. No issues,Thanks/Praise
Satisfied,"I'm a retired teacher.  I want to order books for my grandkids, but it seems like I have to give a teacher code.  Maybe there is a different way to do this.  I couldn't log in as I usually do because I no longer teach.",Connecting Teacher/Class Code
Satisfied,Books by level are not sorted well,Website- Filter/Search Options
Very Disappointed,"Not a secure website. I'd usually close any site that doesn't allow HTTPS. I somewhat regret that I didn't. I'm shocked, and somewhat resent, that you don't use HTTPS- a secure website.",All Other
Satisfied,It is a little difficult to navigate from the different versions like the scholastic store to the parent portal and knowing which one you need to offer or connect the teacher to.,Website- General Comment/Navigation
Satisfied,Need more feeling books like spots,Products Offered/ Availability
Disappointed,This survey popped up in the middle of my shopping. I am annoyed and want to log out.,Website- Survey Pop Up Issue
Very Satisfied,Easy to do. No issues. Self explanatory.,Thanks/Praise
Neutral,"Too many pop ups and questions.  Also, my bonus point total seems to be different in different locations. I should have a HUGE amount of points.",Website- Survey Pop Up Issue
Satisfied,"I dislike that we half to wait to get our order summited from the teacher, it seems to take forever to get our order.",All Other
Neutral,Hard to use on an Android. Everyone I tried to go back I had to stay all over again.,Website- Mobile Compatability
Satisfied,It’d be nice to shop for all age groups as I have children in multiple grades,Website- Filter/Search Options
Very Satisfied,I just started shopping.,All Other
Neutral,I didn't understand the site navigation well enough to find the leveled readers I was looking for.,Website- Filter/Search Options
Satisfied,Placing order,All Other
Very Satisfied,I like how easy it is to find books online after looking at the physical paper with the item # feature.,Thanks/Praise
Disappointed,my son is in spanish immersion and I am looking for chapter books in spanish.  I know there are more authors and book options for spanish readers but it is not easy to access them,Products Offered/ Availability
Very Satisfied,Thank you for having books available for an affordable price. I like having a library for my children.,Thanks/Praise
Neutral,"I wanted to associate one of the books with another child, but I want all the books to come through this teacher in one order, not the other child’s teacher.",Website- General Comment/Navigation
Satisfied,I am hoping the terrible shipping delays are over.  Nervous because last school year was awful,Prior Year Shipping Delay
Satisfied,"The book my child wanted was only available as part of a set. It's the ""There was an old lady"" book with the ghost on the cover.",Products Offered/ Availability
Very Satisfied,I couldn’t complete the order yet becoz this survey popped up.,Website- Survey Pop Up Issue
Satisfied,Format for looking at different pamphlets can be more user friendly,Website- General Comment/Navigation
Satisfied,Had some difficulties last year during the book fair trying to use a gift card i already had.  Need to make this more streamlined so my little kids don't struggle when trying to buy books at the school book fair.,Account Balance/Payment
Neutral,The online method allows grandparents to purchase the books for the student also.,All Other
Very Satisfied,I'm here to get the information to share with my students so they can order books. I'll be back to order soon!,Intend To Order in Future
Very Disappointed,"I want to buy books for my Daughters classroom. She i s teaching a modified homeschool/classroom school which I can't f find on your school list. Can I buy the Dog on frog book     Carol Knapp  871 Valley View #A  Medford, OR 97504",Connecting Teacher/Class Code
Satisfied,I'm glad to be back at school to get my parents involved in getting their kids hands on great books.    Have a great year!,Thanks/Praise
Satisfied,"I tried to place an order on my mobile device. But when I tried to select the free  book with code READS, I was unable to select the complete button to add it to the cart.   I had to wait and place order on laptop.",Bonus Points/Rewards/Promos
Neutral,I always find this site very difficult to navigate.  I want to know where do teachers go to get digital letters or information on how to send information to parents?,Website- General Comment/Navigation
Neutral,Flyers are too touch sensitive.  I like the ability to search by grade,Website- Filter/Search Options
Neutral,"Filters on your site were a little confusing. I would select kindergarten but then would also get preschool. When I finally got to the kindergarten area, if I clicked to read more details about a book...after finished I could never get back the previous page. Instead it would take me back to the home page. Also it would be nice to see a specific list of what your child's teacher recommends not just teachers in general.",Website- Filter/Search Options
Very Satisfied,Very easy to use.  And great way to help kids receive free books for my friends son’s class,Thanks/Praise
Satisfied,I need to return when I have more time to search for books.,Intend To Order in Future
Very Satisfied,great site,Thanks/Praise
Satisfied,Website is A little overwhelming,Website- General Comment/Navigation
Satisfied,The site doesn’t view well on my phone.,Website- Mobile Compatability
Satisfied,I would have like to reviewed ALL my history and bonus points from years past not just two years.,Website- General Comment/Navigation
Satisfied,"Maybe it is user error, but setting up e-wallets for multiple children can easier.",Account Balance/Payment
Satisfied,"I am struggling to find new books for my classroom as I have bought a lot of books from you over the past years.  I was looking to buy incentives for my classroom, they were expensive .  Thanks",Products Offered/ Availability
Very Satisfied,Amazing,Thanks/Praise
Disappointed,It is very hard to locate and print ewallet information. The service is great for kids who are independent and are able to use this feature at school but locating the ewallet is close to impossible.,Account Balance/Payment
Disappointed,"The teacher advised to create an e wallet for the easiest way to purchase books during the book fair. She also said donations are appreciated. It’s pretty challenging to determine what books she has selected for donations, and of those which books other parents have signed up to purchase. I also can’t see a way to create an e wallet.",Account Balance/Payment
Satisfied,I'm hoping that orders are processed at a better rate this year. Last year I stopped placing orders because it was taking too long to get the books.,Prior Year Shipping Delay
Satisfied,The site is not always easy to navigate when you are just browsing.,Website- Filter/Search Options
Very Satisfied,Very easy experience!,Thanks/Praise
Disappointed,Very confusing when already had account.  Had trouble figuring out how to link the class code.,Connecting Teacher/Class Code
Very Satisfied,Loved the website!  Easy to navigate.  :-),Thanks/Praise
Satisfied,I sent an order online today and then found a coupon for 500 bonus points with first back to school order of $25. My order qualified. I hoped to get this added to my order as I just sent it in.  I called but since it is Labor day the office was closed.  The code for the coupon is 20028.  I hope that this coupon can still be utilized.  Thank you,Bonus Points/Rewards/Promos
Very Satisfied,Nice and easy,Thanks/Praise
Satisfied,Have loved Scholastic since I was a child 40 years ago and I will never support any other book company. Thank you for your great choices for my child!,Thanks/Praise
Very Satisfied,Sure was easy to use,Thanks/Praise
Very Satisfied,First time teacher using this site and it's very easy to navigate.,Thanks/Praise
Very Satisfied,I would have liked to have been able to print 2 letters per page. It would not put 2 on a page.,Website- General Comment/Navigation
Satisfied,This is a good site to get books for my child it is easy and accesable to use and search up.,Thanks/Praise
Neutral,this survey popped up before I could finish my tasks,Website- Survey Pop Up Issue
Satisfied,The website has gotten SO much more user friendly since last year.,Thanks/Praise
Neutral,Book sets not having descriptions of each book are not appreciated.,Products Offered/ Availability
Neutral,Spent over an hour on my computer trying to place the order. Encountered problem after problem. Had to do it on my phone,Website- General Comment/Navigation
Very Satisfied,"Love the site, I hope your shipping for the start of the year goes better than last year.  PLEASE!!!",Prior Year Shipping Delay
Very Disappointed,"This site is confusing and not user friendly. It is not simple to add additional children. After this transaction, I will never visit this site again.",Website- General Comment/Navigation
Neutral,Some  books did not generate with their item numbers from the catalogs. I had to search for those books by name.,Website- Filter/Search Options
Very Satisfied,"Scholastic Books makes ordering ""just right"" books really easy. Sometimes I wish there were more titles from a particular author available, but limits are good. They prevent me from playing the game where I go back and forth taking things out of the my cart and then putting them back in, over and over, for hours.",Products Offered/ Availability
Neutral,The sign-out is frustrating as it resets opened pages to the home page.,Website- General Comment/Navigation
Very Satisfied,Thank you for giving teachers free books!,Thanks/Praise
Very Satisfied,Great experience.,Thanks/Praise
Very Satisfied,Parents being able to order online is very convenient!,Thanks/Praise
Neutral,Everything was easy!,Thanks/Praise
Very Satisfied,Very easy & understandable,Thanks/Praise
Very Satisfied,Easy and user friendly,Thanks/Praise
Very Satisfied,I'm not sure why I wasn't able to use the $30 ABC123 coupon.,Bonus Points/Rewards/Promos
Neutral,"I'm a long time user of the book clubs site.  With the new site design, it was not intuitive to open the menu ""books and resources"" for a larger list of books.  I first went down to the ""trending/top sellers/new"" area, then tried book finder and flyers before I found the full lists of books.  I think that the menu to search by grade or type of book should be visible on the front page.  I almost left thinking there were very few books available to buy.  ""Resources"" made me think that section was for teachers.",Website- Filter/Search Options
Very Satisfied,Scholastic is the best,Thanks/Praise
Very Satisfied,some of the digital pages did not load,Website- General Comment/Navigation
Satisfied,"I am trying to find out if parents can still request that books be shipped to their home. I couldn't find that answer.  There is a lot of information available, but it is out of date, especially in the Customer Service section with ""frequently asked questions.""",All Other
Neutral,It said I would do the survey at the END of my visit but instead it redirected right away,Website- Survey Pop Up Issue
Very Satisfied,Wallace and Grace books! We want these added to the website! We love them!,Products Offered/ Availability
Very Satisfied,Scholastic is so wonderful! Thank you!,Thanks/Praise
Very Satisfied,Fairly smooth search.  Should have a button to search a book item number instead of needing to click back,Website- Filter/Search Options
Very Satisfied,I wish that book club had been available prior to when it started this year.  My school started Aug. 10th and I wasn't able to find a $1 book for my students to welcome them to school.  I hope next year it starts earlier.,All Other
Very Satisfied,Website is easy to use and understand.,Thanks/Praise
Satisfied,"I should have had $10 to spend with my class order but that option never came up on the order page.  I looked for it, after I chose the 5 book free pack but there was not an option to choose the $10 worth of books.",Bonus Points/Rewards/Promos
Very Satisfied,The site was User friendly and easy to complete   complete my order.,Thanks/Praise
Neutral,It’s hard to find where to connect to a teacher unless you go directly to the club webpage.,Connecting Teacher/Class Code
Disappointed,Site is hard to navigate and adding products to cart is not user friendly,Website- General Comment/Navigation
Disappointed,Site is difficult to navigate and adding books to cart is not user friendly,Website- General Comment/Navigation
Very Satisfied,Ty,Thanks/Praise
Very Satisfied,"First time buyer as a parent! Loved it! Finding her teacher/school was effortless, adding books was easy peasy, and it was a lot of fun using all the different filters to find what we were looking for!",Thanks/Praise
Very Satisfied,My first time to visit this site and I don't see any problem. I am trying to order some  books  for my daughter ☺,Thanks/Praise
Satisfied,"I can’t easily go to a certain page when browsing books for my daughter. For example, I want to go to page 11 from page 1 and there is no easy way to do this task without going through almost 10 pages of books. Frustrating!",Website- Filter/Search Options
Satisfied,"I have NO school aged children so why does it keep signing me in as a parent?!  It's frustrating because I spent so much time trying to figure out WHAT was wrong!    After last year, I am not ready to trust that Scholastic has it together yet.  I am hoping you show me what the old Scholastic was like where you respected teachers, delivered quickly and correctly, and made things Right when you make a mistake.  Out of my 28 years being your customer, last year almost made me throw in the towel and quit offering Scholastic orders to my students...it was Embarrassing!",Prior Year Shipping Delay
Very Satisfied,Great experience. Looking forward to ordering more. :),Thanks/Praise
Very Satisfied,Wouldn't let me scroll to bottom of page on mobile.,Website- Mobile Compatability
Very Satisfied,We enjoy your books and specials. Thank you so much for everything you do for students and schools everywhere. GOD bless you all!!!,Thanks/Praise
Very Satisfied,"Easy to use, nice alternative with going paperless. Simpler then the original paper scholastic bookorders.",Thanks/Praise
Satisfied,I would like paper flyers since many of my students do not have internet,Kits
Very Satisfied,I'm checking with second child before placing final order I will be adding more books to cart :),Intend To Order in Future
Neutral,Had a hard time finding the class/teacher page based on instructions provided,Connecting Teacher/Class Code
Satisfied,How do I request paper flyers?,Kits
Very Satisfied,"Trying to retrieve, change and then use my password!",Website- General Comment/Navigation
Satisfied,"Wasn't allowed to finish order before survey. I was asked to fill this out after. I am here in the middle of my order. Buttons load slowly so when I hit continue shopping, the page jumps and I've clicked on something else.  Difficult to navigate honestly.",Website- Survey Pop Up Issue
Satisfied,I had to call in,All Other
Satisfied,"It's kind of difficult to go to your card when browsing books, also to look for books in spanish",Products Offered/ Availability
Very Satisfied,The site is great and I love doing scholastic book orders!!!!,Thanks/Praise
Very Satisfied,Site is great. I’m new to homeschool so I’m just trying to decide on what book to purchase in order to build  my library.,Thanks/Praise
Very Satisfied,Love the variety and options of products offered.,Thanks/Praise
Neutral,"The web experience would be a lot better if there was an earlier ADD TO CART button on the books, without have to click through the details pages.",Website- General Comment/Navigation
Neutral,"I'd like to be able to donate books to the classroom. If there was a feature where the teacher could indicate books they would like to have for the classroom and then we purchase them it would be great to help out the classroom.    I understand classrooms will earn books from orders, but if there was a way to also add some additional ones the kids would like I wasn't able to find that option on the site.",Website- General Comment/Navigation
Neutral,I don’t think this site is very user friendly.,Website- General Comment/Navigation
Very Satisfied,Love this company!,Thanks/Praise
Neutral,Great great,Thanks/Praise
Neutral,"It is slightly disappointing that I cannot  add certain books not in the ""book club"" feature to my order for my  daughters class order. There are other books which my oldest is interested in reading that I may have to make another purchase for. For example, other Geronimo Stilton books than the graphic novels or a My America book. At times, I find I need to add multiple grade levels to one class book order, because only one teacher has sent for book orders. I also wish there were more variety of books. We enjoy books like The Chronicles of  Narnia, Dear America, Magic Treehouse, Couch for Llama, Little Bue Truck, Goodnight Moon, Gum Girl, The Spiderwick Chronicles, The Little House on the Prairie, and A Chistmas Carol. I would love to see more classics, or picture book adaptations of classics.",Products Offered/ Availability
Satisfied,"I originally hit search and entered the numbers, but then I was asked to order student orders through the student order form, so I had to re-do my work.  Not a big deal, but it took me more time.",Website- General Comment/Navigation
Disappointed,Try to get the information loaded and on the right spot was hard for me. For others it may not be.,Website- General Comment/Navigation
Very Satisfied,Easy peasy! Thanks!!! So excited for my kids first order!,Thanks/Praise
Very Satisfied,All was well! Thanks!,Thanks/Praise
Satisfied,Prices have really gone up :(,Price
Very Disappointed,I couldn't figure out where to get flyers sent to me.,Kits
Very Satisfied,I got the surgery before my order was finalized,All Other
Neutral,Some of the books I was looking for you didn't have.,Products Offered/ Availability
Neutral,Couldn't get to some of the books.,Website- Filter/Search Options
Satisfied,Ease once account established,Website- General Comment/Navigation
Very Satisfied,Improved site.  Excellent.  Thanks.  Grandparent.,Thanks/Praise
Disappointed,Slow loading times. Flyers wouldn't load.,Website- General Comment/Navigation
Very Satisfied,Your website is very user friendly.,Thanks/Praise
Very Disappointed,It is a confusing sight and it is easier to send money with your children,Website- General Comment/Navigation
Very Disappointed,Can’t find certification for my fucking book fair that you’re now charging me for!!,Website- General Comment/Navigation
Satisfied,"Appreciate the books in bundles, great  prices",Thanks/Praise
Very Satisfied,The new year has started and I don't have any Scholastic catalogs to send home with students. I am disappointed that I have to request catalogs.,Kits
Satisfied,Wish there was additional options,Products Offered/ Availability
Very Satisfied,i love scholastic! It creates a wonderful oppurtunity for establishing and maintaining family engagement,Thanks/Praise
Very Satisfied,I appreciate the grade categories so I can shop for other kids.,Thanks/Praise
Satisfied,"I have multiple kids that I want to order for, in different classrooms. I couldn’t find how to do that, so I’ve placed the first child’s order but will have to do it again for child number 2.",Website- General Comment/Navigation
Satisfied,"I was timed out and then lost my spot on the page I was on (looking though the books for a certain age). Then, the prices didn't show up when I refreshed.",Website- General Comment/Navigation
Very Satisfied,"Great site, great selection!",Thanks/Praise
Neutral,Hard to reconnect teacher,Connecting Teacher/Class Code
Very Satisfied,Great books. I enjoyed some when I was a kid. Excited for the new books.    Thank you.,Thanks/Praise
Very Satisfied,Easy and appreciated!,Thanks/Praise
Satisfied,"I was also searching for my daughter's teacher's wish list and was unable to find, even though she shared a link to one. (It kept directing me to the Book Clubs home page.)",Website- General Comment/Navigation
Very Satisfied,The website works well.,Thanks/Praise
Neutral,It’s saying my order is canceled and I don’t understand why,All Other
Neutral,at first it was impossible to see how the site works....I tried for several days it was only after I created an account that I was finally (but not immediately) able to place items in my cart.  The site was not user friendly at first not sure why.  I love the book club just new to the digital format and hope it will go smoother going forward.,Website- General Comment/Navigation
Very Satisfied,Need to change my last name to GRIFF,All Other
Very Satisfied,I didn't submit orders just yet waiting on more,Intend To Order in Future
Very Satisfied,So excited for her to get her books,Thanks/Praise
