Overall Rating,Comments,Feedback Category
Very Satisfied,Overall easy use experience,Thanks/Praise
Satisfied,I love that I can earn rewards and get books for my classroom,Thanks/Praise
Very Satisfied,Ease of use,Thanks/Praise
Very Satisfied,So glad this is offered at the school we are attending. We love books!,Thanks/Praise
Very Disappointed,The site is NOt helpful,All Other
Very Disappointed,"It was an act of God to actually log into this website. My password, which I know is my password,  was no longer my password.  So I opted to change it. The NEW password I had just set was not a valid password either. Third time IS the charm! So I was finally able to log in to make a purchase. The navigation is terrible! Where is your home? Do you have a home?",Website Performance/Page Design
Very Disappointed," My daughter wanted to look as pencils and cute stationary items, but we were unable to find any direction to get us there. So instead of spending about 100 bucks, we spend less than 40.",All Other
Satisfied,Need a easier way to look up books,Website Performance/Page Design
Neutral,"Only difficulty is that when I type in ""scholastic books"" I get to the main site - but then when I go to place my order, I realize I'm not connected to my children/teachers (even when logged in) and have to go find the other web address.  Likely not an easy solve either, so it just is what it is.  I tried to remember to bookmark the school page instead for future.",Website Performance/Page Design
Very Satisfied,I wasn’t sure how to add to the previously submitted order.,Website Performance/Page Design
Very Satisfied,all Good,Thanks/Praise
Neutral,Not the easiest to navigate on a phone.,Website Performance/Page Design
Neutral,"Puting in my order was great, the help I received to cancel my previous order was fantastic, but my rewards was not so good. After I canceled my previous order, I went in to replace my order and spent $150’ish in books but was not offered my $10 free reward for a book or the free 2-3rd grade free bundle of books. How do I take advantage of my extra rewards, especially since I spent more than $150 in books?",All Other
Neutral,I always have trouble finding what section I need to be in to purchase books through my daughter’s school,Website Performance/Page Design
Very Satisfied,Super easy to use! I was very impressed.,Thanks/Praise
Neutral,The site wouldn’t let me choose a free book. I want There was an old lady that swallowed leaves.,All Other
Very Disappointed,I ordered the books since 8/11 & still haven’t received them,All Other
Very Satisfied,Simple and easy to use,Thanks/Praise
Neutral,"Site is not streamlined, not easy to understand",Website Performance/Page Design
Satisfied,Looking forward to timely book deliveries.,All Other
Neutral,Had trouble getting back to the home/landing page with book selections.,Website Performance/Page Design
Very Satisfied,It was easy to order books for my students and direction on the site was clear to follow. I am eager to earn more points for my classroom library! I enjoyed being online I even recommended a fellow teacher to join!,Thanks/Praise
Satisfied,If the fonts on the paper sheet can be bigger will be great.,All Other
Very Satisfied,It took me to this survey before I was finished with my order.,Website Performance/Page Design
Satisfied,"I wish more books were available on the book clubs site. Often certain series are not. Also, I wish that the acorn and branches books were more available on this site and that they were promoted more.",All Other
Neutral,Just trying to figure out how things work,All Other
Neutral,"I miss being able to buy and find book regularly for $1. I like to buy my students books, but paying $2 or more per child is too expensive when I have 25 kids. Also to get to the ""dollar"" section you have to spend a lot (I think its $75)  just to get to the ""dollar"" section.  I thought last year was bad when it was hard to find $1.50 books. Its sad because I would be able to buy more books on a regular basis if they were cheaper.  Looks like I will be cutting back on my book purchases this year, and will have to buy my students other types of presents that are more affordable. Or hopefully you all have some value packs that are equivalent to dollar books? Fingers crossed.",All Other
Very Satisfied,Fast and  Very easy to navigate,Thanks/Praise
Satisfied,I wish the catalogs would be sent automatically,All Other
Very Satisfied,It would be nice to see how many points you contribute to your child’s class after you put in your order,Website Performance/Page Design
Neutral,Very good site,Thanks/Praise
Very Satisfied,Love this site,Thanks/Praise
Satisfied,"When attempting to purchase books, the page kept  freezing before I could purchase.",Website Performance/Page Design
Very Satisfied,Super easy and fast to get started,Thanks/Praise
Very Satisfied,I could not find the title I was looking for. I order it last year but my order arrived too late to give to that class so now I need 3 more to use with this class. Very disappointing,All Other
Satisfied,I wish there was a better selection of books. I would also like to see things like bookmarks and other trinkets that are usually offered at book fairs.,All Other
Satisfied,I had a hard time understanding where to put my class code,All Other
Very Satisfied,Easy to order and review site.,Thanks/Praise
Very Satisfied,Love it better than paper,Thanks/Praise
Disappointed,"I searched for the book ""Number the Stars"" and got weird results.  Not helpful.",Website Performance/Page Design
Very Disappointed,The website is so clunky and frustrating that I stopped using it and didn’t end up ordering. I needed to find the latest book club brochure and couldn’t search the website by the book number on the brochure given out by the school.,Website Performance/Page Design
Satisfied,I wish shipping was a little faster but I understand it’s been hard.,All Other
Neutral,"The first site I went to was not correct for what I needed which was ship to school. A little hard to navigate the site.  I’m  Not exactly sure even what I would say I was looking for.. but I was trying to order as a parent but connect to teacher and ship to school. It was kinda hard to get there for some reason. First time having this issue, seems the site is updated from last time I accessed it.",Website Performance/Page Design
Very Satisfied,"Good site, easy to search or add books by item number. Works well and not overly complicated as some others are.",Thanks/Praise
Very Satisfied,Purchasing was extremely easy,Thanks/Praise
Neutral,Not easy to find where to put school/teacher code,All Other
Very Satisfied,"Scholastic always has great prices and I love when there are coupons, or free books when you purchase so many others.",Thanks/Praise
Very Satisfied,I’m in the process of doing this.,All Other
Satisfied,Please make tutorials easier to read. It was just very harsh to read.,All Other
Very Satisfied,Selecting books is easy and the flyer helps out so much!,Thanks/Praise
Disappointed,"I sold Scholastic books to my classes for probably at least 10 years.  Two years ago I had a small class and sold very little, the next year I didn't sell any books.  I am now able to sell again and when I checked my account I do not see any points.  Scholastic kept my user name and password but cancelled my points!?  Did someone else use them?  Can someone tell me where my points are  or when they were used?  Thanks!",All Other
Very Satisfied,Always easy using this page,Thanks/Praise
Very Satisfied,Excited to get our books!,Thanks/Praise
Satisfied,I found it fairly easy to navigate through the website.,Thanks/Praise
Very Satisfied,Easy,Thanks/Praise
Very Satisfied,Site was easy to work and was quick and easy.,Thanks/Praise
Disappointed,Unable to pick a book for the READS promotion.  My code is accepted but am not able to pick a book,All Other
Very Satisfied,Very easy and guided me to find books,Thanks/Praise
Very Satisfied,I have purchased Scholastic books for years and have always had great service.  Last year was the exception.  It took forever to get the books. I understand it had a lot to do with the pandemic. Parents stopped ordering because it took so long.  I really trust that this year will be better. Thank you for your timep!🙂,All Other
Satisfied,I accidentally deleted a book because it doesn’t line up with the book I wanted to delete.,All Other
Satisfied,Search engine could be better,Website Performance/Page Design
Neutral,I still cannot how to add funds to the ewallet. Someone using your website should not have to google how to add money or anything else for that matter.,Website Performance/Page Design
Very Satisfied,Great and easy,Thanks/Praise
Very Satisfied,"It was very easy to set up an account and place my order for my Grandson, Liam, and his class.",Thanks/Praise
Satisfied,Everything the catalog and teacher said to do worked! I love that.,Thanks/Praise
Neutral,I wish there was more variety,All Other
Satisfied,It would not print my parent letter. I got an error message.,Website Performance/Page Design
Very Satisfied,"I've found everything I wanted to order, I am now just waiting to show our daughter and let her pick out some  Books she likes.",Thanks/Praise
Very Satisfied,Very easy to use and prices were reasonable very grateful.,Thanks/Praise
Neutral,"I wanted to use my $5 book to get a book from teacher's wish list, but that wasn't available as an option. I can get the book for my child, but there was no way to note that it was for the teacher.",All Other
Satisfied,Free book titles could be where you could see whole title,All Other
Very Satisfied,great and easy to use.,Thanks/Praise
Very Satisfied,Great,Thanks/Praise
Neutral,Page seems very glitchy.  Kept putting my books in for 4 books at a time. Otherwise ok though.,Website Performance/Page Design
Satisfied,Love putting in the item numbers rather than having to search,Thanks/Praise
Satisfied,Hard to figure out where to enter the class activation code. ,All Other
Satisfied,"This survey popped up before I could do any shopping,",Website Performance/Page Design
Neutral,"Because I am an educator and order books for my own classroom, I had to plug in my husband's email address or it wouldn't let me go any further without taking me  to a different book club.  Not a big deal.  When one is determined to order books for one's grandson, it will happen.",All Other
Disappointed,It was very difficult to find the correct part of the website to connect to my child's teacher and I only found it after shopping the 'parent store' by mistake.,All Other
Disappointed, And then the book that my child had chosen wasn't available in both sections no matter how I searched. It was extremely frustrating.,All Other
Satisfied,"""Find your child's teacher"" should be prominently displayed as indicated by the order form.",All Other
Very Satisfied,It was very easy to create an account and connect with our teacher page.,Thanks/Praise
Neutral,I could not get the page to lift so i could get to the bottom of the page.,Website Performance/Page Design
Neutral,It is frustrating to look for books in different genres.,Website Performance/Page Design
Neutral,"  Yes, you can use the search to find authors, but you are lacking many great authors like Stuart Gibbs and Trenton Lee Stewart, just to name a few.  Plus, your selection of nonfiction books is not good.  My sons love reference books, but you have hardly any and the ones you do have aren’t the best.  Why don’t you have more DK Publishing?      The only reason I’m ordering anything is to support my sons’ teachers.",All Other
Neutral,It took me a while to figure out how to find the monthly magazine that was provided to the class so I could more easily place my order.,Website Performance/Page Design
Neutral,I haven’t even placed my order yet and I’m having to take the survey. It would make more sense to do it after I placed the order.,Website Performance/Page Design
Neutral,Hard to navigate on a mobile device,Website Performance/Page Design
Satisfied,Easy peasy,Thanks/Praise
Very Satisfied,"Easy to navigate, easier with a paper flyer of the books to enter item numbers.",All Other
Satisfied,"I tried to enter the coupon code for 500 extra points today so I wouldn't forget to do it when I placed my order.  The site would not allow me to do that.  Hopefully, I will remember.  It would be really nice if Scholastic automatically entered in coupon codes for things that a teacher earns from you.  We have so many things to keep up with.  It would be nice to have that done for us.  It would be a great perk which all teachers would appreciate.  Thank you.",All Other
Satisfied,Easy to use website,Thanks/Praise
Very Satisfied,Loved it!,Thanks/Praise
Satisfied,"on the book preview pages, it would be nice if there was enough resolution to actually read the text.",All Other
Neutral,I was previously registered as a teacher but need to disable that account so I can order for my child.,All Other
Very Satisfied,Easy,Thanks/Praise
Satisfied,"With the various sites, I could not figure out where to pair my child's classroom with my order. I did eventually make my way to the correct spot. ",All Other
Satisfied,The book pack that I wanted to buy was not available on the page associated with my child's classroom and was available on other sites.,All Other
Satisfied,Easy to use,Thanks/Praise
Very Satisfied,Not sure yet.,All Other
Very Satisfied,My daughter loves books. Helps with her reading and it’s fun to choose a book to read for her weekly book reports.,Thanks/Praise
Neutral,I find navigating the magazine online tricky. it would be easier if we could click on an item on the catalog page and it would take us to an order option.,Website Performance/Page Design
Satisfied,I would love to see a wider variety of chapter books over comic books.,All Other
Neutral,I received a $25 gift card at the end of last school year and I'm unable to find it to use it.,All Other
Very Satisfied,Everything was very easy,Thanks/Praise
Disappointed,I don't feel the descriptions give enough information about what the content in the books are.,Thanks/Praise
Neutral,There should be a section for clearance books.,All Other
Disappointed,I couldn't find teachers name so I guess not all teachers have account.,All Other
Neutral,"I did not like the selection of books I could choose from for the $10 spend now. In years past, I could search for books and add them to my order. This time it would not let me. I did not get to use my $10 spend now.",All Other
Satisfied,More discount books for teachers to order for their classroom would be nice,All Other
Satisfied,I could not connect to my child’s new 3rd grade teacher at her school.   Please reach out to schools to encourage all teachers (especially new ones) to sign up for a class book club here.  Thank you!,All Other
Satisfied,Easy once I remembered my password,Thanks/Praise
Very Satisfied,I always appreciate the extra points to purchased books for my students and library. Thank you scholastic!,Thanks/Praise
Neutral,The search bar & criteria has been severely downgraded.,Website Performance/Page Design
Satisfied,"I would like to find my children's teacher, but I am unable at this time.",All Other
Satisfied,I usually order every month. Last year I only ordered once because it took almost 6 weeks to get our order back nd parents became frustrated as did I. I hope these issue won't be a problem this year.,All Other
Very Satisfied,I am the Library Media Specialist at the Baltimore Digital Harbor High School. I am looking for chapter books for my LMC. I am hoping that our new principal will give me a budget for it.  I was also wondering if you have book fairs for High Schools?,All Other
Neutral,"Searching for content online is not user friendly. It is not easy to find description and rating/reviews on content. Also, the site is not organized, it is not easy to find all age appropriate topics.",Website Performance/Page Design
Neutral,"There used to be a Spanish option to send to parents. This was extremely helpful, and I'm sure other translations would be as well. Maybe I just can't find it?",Website Performance/Page Design
Neutral,Can't remember PayPal password.,All Other
Neutral,It would be nice to see some Christian based books,All Other
Neutral,Why don't I receive monthly scholastic flyers anymore?,All Other
Neutral,Takes long,All Other
Very Satisfied,Been using Scholastic Book Clubs for a long time for my grandchildren.  Have always found what they wanted with no problems..,Thanks/Praise
Satisfied,"The site times me out too quickly and if something isn’t in my cart then I have to search for it again. Also, the coupon code falls out of the cart and I have to delete the free book (because it’s no longer free without the coupon), re-add the coupon, select the free book again.",Website Performance/Page Design
Satisfied,Was tricky at first but did finally get to the page that I needed to!,Website Performance/Page Design
Very Satisfied,I was disappointed to see that the coupons I had been receiving via email were not accepted through the book club.,All Other
Very Satisfied,"Some of the digital magazines, I had to refresh but it was no issue.  It also could have been the computer I was using.",Website Performance/Page Design
Satisfied,I haven’t finished,Website Performance/Page Design
Satisfied,I have a teacher account but I can’t create an account as a parent.,Website Performance/Page Design
Neutral,For some reason the site signed me up as an educator,Website Performance/Page Design
Neutral,Ordered books from Scholastic when my children were young. Now I've been enjoying ordering them for my grandson for 4 yrs. too.,Thanks/Praise
Neutral,We love the book fair and flyers!,Thanks/Praise
Satisfied,I was not able to look inside many of the book!,All Other
Satisfied,I’m still in the middle of trying to order.,Website Performance/Page Design
Satisfied,My saved book lists for my children from last year were removed. I would prefer to keep my saved book lists into the new school year and edit the list myself as my children interests change.,All Other
Satisfied,Website was challenging when finding my child’s teacher - I didn’t understand that I should order from Book Club and not just Order-,All Other
Neutral,Not easy to just get to a list of books,Website Performance/Page Design
Satisfied,"I was not able to find the book ""Color Monster"" or any of the books in the series",All Other
Very Satisfied,I like the feature where you can look through the flyers and order from there. Very cool and easy to use!,Thanks/Praise
Neutral,Don’t like the selection of books! I don’t need you pushing WOKE narrative!  The Language of Seabirds? Totally inappropriate! I won’t be buying this bs! Who thinks a 3rd grader needs this book? I’m out Scholastic!,All Other
Neutral,"No issues, but wish we still had the ship to home option as I ordered a few larger items that may be difficult for my kiddo to transport home with her.",All Other
Very Satisfied,Search option is awesome. Easy to use site.,Thanks/Praise
Very Satisfied,Got it & that a miracle in itsself!!,Thanks/Praise
Disappointed,Cannot locate what I need,All Other
Satisfied,I'd love to see a wider range of books for middle graders/middle schoolers! There's a bit of a gap in the maturity levels of the books. But I do appreciate the diversity variety!,All Other
Satisfied,Scrolling to find free books is time consuming. Would be helpful if they were organized by genre.,Website Performance/Page Design
Very Satisfied,Easy,Thanks/Praise
Satisfied,Could be easier finding where to enter the teachers code-,All Other
Very Satisfied,Thank you!,Thanks/Praise
Satisfied,The website worked well once I got used to the format. Once I understood the format the shopping experience was fun and being able to look at the books was helpful.,Thanks/Praise
Very Satisfied,Very easy to do... Love it when it's not completed... Thank you!!!,Thanks/Praise
Very Satisfied,Muy bonitos libros para leer a mi hija,Thanks/Praise
Very Satisfied,"Being a child who loved when scholastics book fair came to my schools, I’m so happy as a parent now that they still have this amazing chance for this generation to experience the joy of buying books and making it digital is so convenient",Thanks/Praise
Very Satisfied,I am a little disappointed that I only received one flyer  for the beginning of the year. I have been a member for years. I need to wait before sending home the first flyers.,All Other
Very Satisfied,love the new and improved site!!,Thanks/Praise
Very Satisfied,It was very easy to view and find what I was looking for in the flyers,Thanks/Praise
Neutral,Could not figure out how to order paper catalogs for my class! Called and told it as at bottom of home page.  Could not find.  Very frustrated!,All Other
Satisfied,It would be ideal if you could accept payments from cards registered in another country.    My employer pays me in UK £ so I have to kee my bank in sterling pounds. This site only accepts US debit and credit cards or US PayPal.,All Other
Neutral,"The code given by teacher,, not sure if it gives discount or not. It did not work.",All Other
Very Satisfied,Easy ordering with the item #,Thanks/Praise
Very Satisfied,I love that I can select each of my children's teacher's and they get the credit for their student.,Thanks/Praise
Satisfied,"when I was in the teacher resources and looked at an item, the back button took me to the home page .",Website Performance/Page Design
Very Disappointed,"It is VERY hard to determine from this site whether a book is at an appropriate level. You provide like five different level systems, and do not normalize them in a user-friendly way. The page eplaining the systems is incomplete, and inconvenient to flip back and forth. How hard would it be to say ""reading level: 3rd, content: 4rd-5th""?    Also, your filters are ineffective. When I restrict to ""chapter books"", I do not expect any comic books or graphic novels to appear.",Website Performance/Page Design
Neutral,Your survey keeps interrupting me,Website Performance/Page Design
Satisfied,From the grade level digital catalog I could not add books to wish list. The heart would not open the link to click the box for the selection. I had to go into wish list and search each book title.,Website Performance/Page Design
Very Satisfied,Easy to place class order,Thanks/Praise
Very Satisfied,No issues.  Website is very easy to navigate and love your prices!,Thanks/Praise
Very Satisfied,Super easy,Thanks/Praise
Satisfied,Choosing a free book is not user friendly,All Other
Neutral,It was a bit cumbersome...,All Other
Neutral,"I'm still browsing, but so far so good!",Website Performance/Page Design
Very Satisfied,It was difficult to navigate to my childrens profiles to update my sons teacher for this school year.,All Other
Neutral,I'd like to try and order an ipad.  I'd like to know how long it will take it to  arrive.  I don't want to wait an extended period of time.,All Other
Satisfied,Connecting to a teacher. I couldn't see the button at the bottom.,All Other
Very Satisfied,It’d be nice if to gift the teachers,Thanks/Praise
Satisfied,There seem to be a lot of different ways to code what reading level the books are. It's kind of confusing and hard to figure out what all the different codes mean. I wound up Googling the different acronyms and what they possibly meant.,All Other
Satisfied,It is confusing when you are supposed to pick your books earned. I chose before checking out and had to go back to delete them. Then I picked from the list allowed during checkout.,Website Performance/Page Design
Very Disappointed,Books are overpriced.,All Other
Neutral,"When ordering a free book with a coupon code, the pop up to select the free book made it where I could not access the button at the bottom right corner to finalize my selection. I used an iphone and both the safari and chrome browsers. It was impossible to select with safari, but in the chrome one I was able to just barely see the top sliver of the button and click it.",Website Performance/Page Design
Neutral,"I’ve tried for the last few weeks to make the READS promo code work, and it keeps saying it is expired. I have $30 in the cart to order through my child’s teacher, so I’m not sure what the issue is.",All Other
Satisfied,A little tricky to link student with his class code.I overlooked that I had to click edit on students name.,All Other
Disappointed,Entered teacher code and child name twice. And why is this survey required?,Website Performance/Page Design
Disappointed,Can’t read previews. Too blurry,All Other
Satisfied,Hope the kid learning and fun,Thanks/Praise
Very Satisfied,Easy,Thanks/Praise
Satisfied,Need more help for appropriate books for my 14 year old granddaughter,All Other
Very Satisfied,Great website!,Thanks/Praise
Very Satisfied,Parent friendly,Thanks/Praise
Satisfied,Rating below depends on how quickly items ship.  I am hoping it goes smoother than last year did.,All Other
Very Satisfied,"I wish there were some titles that are not available... such as boxcar children, disney chills,  and treasure seekers",All Other
Very Disappointed,Site keeps taking me to a different class after my teacher shows. I signed into my account and then it does not allow me to access the teachers class or I cannot find it. Very difficult site to use and an upset 4 year old is with me.,Website Performance/Page Design
Satisfied,Wasn’t finished ordering and it went to this customer satisfaction site and I couldn’t get it to go back to order.,Website Performance/Page Design
Satisfied,Simple,Thanks/Praise
Satisfied,It is good.,Thanks/Praise
Disappointed,The site is not friendly to the process of buying and searching fotmr stuff. The feeling is like desorganize . But I love the concept and the pueposr .,Website Performance/Page Design
Neutral,I hope deliveries are much faster this school year.  I had very few orders last year because parents were disappointed with waiting months for books.,All Other
Satisfied,It would be helpful to be able to add to the cart without having to click into the book profile.,Website Performance/Page Design
Neutral,Trying to enter the code READS as offered on the homepage for a free book with order.,All Other
Neutral,"Put the survey before I was able to order,   Putting the survey after would be better",Website Performance/Page Design
Satisfied,"It should be easier to see all scholastic books and sort by price rather than having to go to the specific grade, remove filter, and then sort by price.",Website Performance/Page Design
Satisfied,"Not sure why you offer the Ready, Freddy books in Spanish, but not English.  I'll go to Amazon and get what I need.",All Other
Very Satisfied,Good value,Thanks/Praise
Disappointed,I wish there was an easier place to enter your child’s teacher’s code from the main page.,All Other
Satisfied,I’d love to see a page or two of the book to determine if it is a good fit for my child.,All Other
Neutral,forgotten password & scholastic finally helped me after 40 minutes of   struggling,All Other
Disappointed,"These surveys come up to early,way befroe you get to finish browsing.",Website Performance/Page Design
Satisfied,Your site gets better all the time.  Very easy to navigate.,Thanks/Praise
Very Satisfied,Everything was easy and Great!!!!,Thanks/Praise
Satisfied,I somehow kept closing out of the site rather than going to the previous page.,Website Performance/Page Design
Neutral,I am unable to log into my teacher account. I need assistance.  My account was linked to Audrey.brooks@veneriniacademy.com. I changed jobs this summer and used my home email during the transition. My emus Audreybrooks66@gmail.com.  Venerini is located in Worcester ma on 27 Edward st. I have been unable to get in as a teacher and see my account to set up for the school year. I had a large amount of points saved and was going to get some supplies for the new year. I do not know my code as so much is still all boxed up. Please help. Thank you.,All Other
Very Satisfied,Awesome!,Thanks/Praise
Satisfied,I was just looking for books for my classroom and to use as birthday gifts for my students.,Thanks/Praise
Disappointed,"Teachers should be able to request catalogs from the website with one click, without having to take the time to make a phone call.",All Other
Disappointed,Dollar books didn’t show. We spend a lot of $,All Other
Disappointed,it’s been rough with shipping and availability recently,All Other
Satisfied,Hoping this year shipping is hassle free.  Last year we waited 3-4 months for books.,All Other
Satisfied,Easy!,Thanks/Praise
Very Satisfied,I LOVE Scholastic and my students LOVE new books!,Thanks/Praise
Very Disappointed,I am a Eloise Kuhl’s Great Grandma,All Other
Neutral,"Would like to see more Spanish books, somewhat hard to navigate through just trying to browse Spanish books",Website Performance/Page Design
Disappointed,"It is so difficult to figure out how to add to cart. If your ultimate goal is to sell, the adding to cart should be the easiest thing for customers to do.",Website Performance/Page Design
Very Satisfied,"Topics and book selections are very well organized. Also, I appreciate the book recommendations at the bottom of the page. Thank you for making age-appropriate, book ordering easy and convenient for parents!",Thanks/Praise
Very Satisfied,I love this site,Thanks/Praise
Very Satisfied,Very user friendly,Thanks/Praise
Satisfied,I have downloaded flyers to send home as I haven't received any paper flyers to send home yet. The paper flyers are the most effective in generation excited about books since we all tend to shop with our eyes!,All Other
Disappointed,Your site advertises the READS coupon in several places but when I type it in it says it’s expired. You shouldn’t have it in so many places if it’s not valid.   Amanda woods  Aosborn1999@yahoo.com,All Other
Satisfied,It took some time finding how to get into my child’s book fair (adding his teacher etc).,All Other
Disappointed,i am no longer a teacher but cant seem to detach my teacher account from ordering for my kid.,Website Performance/Page Design
Very Satisfied,We always love shopping with Scholastic! I love that you can order from Scholastic at any time and have it shipped right to your house! My kids always get Scholastic books for Christmas!,Thanks/Praise
Very Satisfied,Thank you for providing new ways to save on purchasing books. Books are so vital to our students at school and at home!,Thanks/Praise
Disappointed,Wanted to create a account but I couldn't unless I had a teacher info. I don't have a teacher info. I just want to create a account.,All Other
Neutral,"Can’t figure out how to add a book to my cart. Browsing on my phone, maybe easier in a computer?",Website Performance/Page Design
Neutral,The item I wanted went up drastically in price.,All Other
Satisfied,"When I am viewing book/product details, and I press the back button, I don't always get the result I expect.  Sometimes it goes to a page *before* I selected the flyer I was viewing, rather than to the flyer view.  Sometimes it goes back to the book's quick view page.",Website Performance/Page Design
Satisfied,I don't know if my order was submitted more than once because I had to come back to it for it to say submit order.,Website Performance/Page Design
Satisfied,"I connected my teacher successfully. But I'm not sure if she is going to get benefit from my purchase today. If yes, I need to know what is the benefit she is getting in terms of points or books or any other.",All Other
Very Satisfied,Easy peasy!,Thanks/Praise
Very Satisfied,Super easy to create an account.,Thanks/Praise
Satisfied,Just getting ready for the school year.,Thanks/Praise
Very Satisfied,Very hard to scroll on phonr,Website Performance/Page Design
Disappointed,"My friend is able to receive a book a month for her students on her class.  I would like to do the same thing, but can’t find the way to do it.",Website Performance/Page Design
Very Satisfied,"Easy to navigate, easily searchable, easy to shop!",Thanks/Praise
Satisfied,It's a little confusing to navigate but I am always happy when the kids' books arrive and I see their smiles!,Thanks/Praise
Neutral,I would like to check the books for 5th Grade and it was difficult.,Website Performance/Page Design
Very Satisfied,My students and I love Scholastic!,Thanks/Praise
Satisfied,"the shipping last year was horrendous, made me not want to do scholastic in my classroom",All Other
Very Satisfied,"Very user friendly. Thank you! I will continue to recommend Scholastic Book Clubs to everyone as long as the content stays away from Critical Race Theory selections and features books for kids at their grade level and fun engaging content, not agenda pushing nonsense. Thank you very much!",All Other
Very Satisfied,Too tired to place an order tonight and wondered when next book flyers coming out,All Other
Satisfied,"Would be helpful to have the main search box auto-focus for entering multiple books in a row, as well as ""click out"" (click anywhere) to continue shopping.",Website Performance/Page Design
Satisfied,"Didn't know there was a separate sub site, book club. Kinda hidden away.",Website Performance/Page Design
Satisfied,Request to review cam before I had a chance to do anything,All Other
Satisfied,The books I was looking for are no longer here. The Max lucado collection,All Other
Very Satisfied,I didn’t get to finish what I was doing before this survey popped up.,Website Performance/Page Design
Neutral,Difficult,Website Performance/Page Design
Very Satisfied,"Very simple, easy to navigate to find books at the right level for my niece. First time on the site. No challenges.",Thanks/Praise
Very Satisfied,It was very user friendly,Thanks/Praise
Neutral,Browsing is a little challenging on a mobile device,Website Performance/Page Design
Very Satisfied,"It was smooth, the rewards were EXTREMELY helpful in helping to build my classroom library!",Thanks/Praise
Very Satisfied,Please notify me by email when my students have ordered.  This is important!  I didn't know these were waiting in my account.  Last year I called to have me emailed when an order was placed and it was supposed to have been corrected.,All Other
Neutral,Then website isn’t very mobile friendly. It also takes a while to load and search easily.,Website Performance/Page Design
Very Satisfied,Easy and very self explanatory. Can’t wait to get these books to read!,Thanks/Praise
Very Satisfied,Crucially good to hear you got a good sleep and love little guys love,All Other
Satisfied,Happy that Scholastic is keeping prices reasonable and have the Inflation busters.,Thanks/Praise
Satisfied,"site on desktop is absolute trash. on mobile, though, it's pretty okz",Website Performance/Page Design
Satisfied,I'll come back and complete my order. Just browsing today.,All Other
Satisfied,Using on a phone page panning was hard,Website Performance/Page Design
Very Satisfied,Ordered octopus book with octopus toy:),Thanks/Praise
Disappointed,It is not an easy website to navigate.,Website Performance/Page Design
Neutral,"I have an account so where in your system already but could not locate it.  I have had emails in ND, SD, MN, WI, AZ and TX.  Pl ase find my account and merge the 2.  I have many bonus in the other account t that I want to use.",All Other
Neutral,I am looking to see your selection of board books for the younger kids at our preschool.,All Other
Very Satisfied,I hate the shipping minimums,All Other
Disappointed,I have had several problems with billing and over charging.,All Other
Very Satisfied,The overall ordering process was easy and pleasant. I’m happy to buy books from this book club web site.,Thanks/Praise
Very Satisfied,Thanks for making this process even easier than in the past.,Thanks/Praise
Satisfied,I am hoping that shipping will be quicker this year so that I can order more often this year.,All Other
Satisfied,shipping was a real bummer last year,All Other
Neutral,looking for books that are translated to other languages...not a one,All Other
Very Satisfied,Easy to use!,Thanks/Praise
Very Satisfied,Good,Thanks/Praise
Neutral,"was wondering how to get paper flyers, I haven't received any yet this yea",All Other
Very Satisfied,"I am an anonymous book fairy for my grandkids' classes. I try to get 9 sets of books for each class. Their teachers use them in class, then each student takes the book home for their own library. Plus, I order an extra for the classroom library. I love the Judy Newman books because they're a big bang for my buck.   As an educator I know that the ability to read is the most important key to a student's success in school. Please continue making $1 selections each month...Thank you for helping help students enjoy reading.",All Other
Very Satisfied,The Scholastic site is easy to use!  Thank you!,Thanks/Praise
Satisfied,I couldn’t change my daughters last name. Was it required?,All Other
Satisfied,"I thought I had saved a lot of books to my wish list last year, and now I can't find it.",Website Performance/Page Design
Disappointed,"The only reason I'm frustrated is because there are several other non-book options if you go to an in-person event, there are many more options.",All Other
Very Satisfied,Love the books.,Thanks/Praise
Neutral,"pretty easy to go through the site, order and browse other options",Thanks/Praise
Very Satisfied,LOVE SCHOLASTIC AND THE TEACHER/PARENT FRIENDLY WEBSITE!,Thanks/Praise
Neutral,Was hard to find cart icon on iPhone 12 Safari. Had to scroll right    Also this modal popped up over the checkout page. I’m sure a lot of people are not submitting their orders!,Website Performance/Page Design
Neutral,Navigating for books was hard on my phone.,Website Performance/Page Design
Satisfied,I appreciate that you can select (or change) which child/classroom a book is for directly from your cart.,Thanks/Praise
Disappointed,It's funny how you have books in stores but yet a parent can't order directly from your websight. I'd rather order the books and ship directly to me. I have found that going through a teacher results in not getting books I ordered.,All Other
Very Satisfied,Very nice site!  So easy to add the book selections from the flyer my son brought home.  Great work!,Thanks/Praise
Very Satisfied,Easy to use,Thanks/Praise
Neutral,I was already logged in but it kept asking me to log in,Website Performance/Page Design
Satisfied,Make an easier search for books by category,Website Performance/Page Design
Very Satisfied,I just learned that I can use my bonus points for other things I need for my class. I would love to see other items added like:  a classroom rug  scented markers  bulletin board borders  gel pens  felt markers  clicker (to change slides on the computer),All Other
