WeekOf,OverallRating,Comments,FeedbackCategory
8/25/2022,Satisfied,"I love Scholastic books, but there are books that are no longer available that I'm looking to buy.",Products Offered/Availability
8/25/2022,Disappointed,Advertised promo “READS” did not work. Auto message stated the code had expired.,Bonus Points/Rewards/Promos
8/25/2022,Satisfied,Viewing individual book information and then returning  to catalog page is very ‘glitchy,Website Performance/Navigation
8/25/2022,Very Satisfied,Great. Easy to do,Thanks/Praise
8/25/2022,Disappointed,My account isn’t showing the correct balance credit and it wouldn’t let me choose my $10 credit … it said I earned it but there wasn’t an option to use it!,Account Balance/Payment
8/25/2022,Neutral,In the past I could assign certain book clubs.,All Other
8/25/2022,Very Disappointed,I couldn't find the teacher for my child's books. The person in live chat just abandoned me.    Can I have my money back please?,Connecting Teacher/Class Code
8/25/2022,Neutral,Does not show wallet to know how much money is available,Account Balance/Payment
8/25/2022,Satisfied,i think the pop ups are blocked from our system admin at work so the site is a little hard to shop and quick find books but it seems much better than last school year when it was much more glitchy.,Website Performance/Navigation
8/25/2022,Very Satisfied,The process was super quick and easy!,Thanks/Praise
8/25/2022,Very Satisfied,I love the book campaigns and the Book of the Week. Thank you for supporting my students having a LOVE of reading.,Thanks/Praise
8/25/2022,Neutral,I had to sign in twice to get to the part where I tie my grandchild to their teacher and I never found the part where I could view the teacher's wish list.,All Other
8/25/2022,Neutral,I love that this is available online. Makes it possible to easily buy items for my grandson!,Thanks/Praise
8/25/2022,Satisfied,I love it when there are new books introduced each month.,Thanks/Praise
8/25/2022,Neutral,"Great,  I am the students Grammie and I always loved your organization",Thanks/Praise
8/25/2022,Satisfied,"I had trouble figuring out how to log in, it kept asking for my child’s teacher’s code and I kept giving it but it kept bringing me back to that screen. I figured it out eventually but it was weird.",Website Performance/Navigation
8/25/2022,Satisfied,Pretty easy to navigate and use.,Thanks/Praise
8/25/2022,Neutral,Couldn't seem to get an answer to redeeming points from previous to 2020,Bonus Points/Rewards/Promos
8/25/2022,Neutral,Had to enter item number manually. Can’t copy/paste. Can’t shop from the digital flyer,Website Performance/Navigation
8/25/2022,Satisfied,There could be an easier way to read all the titles from my mobile,Website Mobile Compatibility
8/25/2022,Satisfied,"The flyer from the school said ""Plus you pick a FREE BOOK with an online order of $25+"".  I made such an order but did not see any option for a free book.  I tried to enter ""FREE BOOK"" as a coupon code but that did not work.",Bonus Points/Rewards/Promos
8/25/2022,Very Satisfied,Great,Thanks/Praise
8/25/2022,Neutral,"Frist time using it and was very happy. My kid will be thrilled to get these books. Thank you,.",Thanks/Praise
8/25/2022,Satisfied,"I would love to see more inside the book images to get a better idea of what the books are like - pictures, length, quality of story...",All Other
8/25/2022,Very Satisfied,NO problems,Thanks/Praise
8/25/2022,Very Satisfied,"We love Scholastic! We love the affordable prices, the great selection, and as a former educator, I appreciate the fact that you give back to teachers and help support classrooms as well!",Thanks/Praise
8/25/2022,Very Satisfied,Easy to set up account and connect to my child’s teacher,Thanks/Praise
8/25/2022,Satisfied,Hoping that the books come in a timely manner.,Hopeful Shipping Improves this Year
8/25/2022,Neutral,This survey popped up before I was finished with my order.,Interrupted by Survey Pop-up
8/25/2022,Satisfied,I love scholastic books/book club.,Thanks/Praise
8/25/2022,Neutral,"Search function is poor. Example searched for series “wings of fire” showed none. Tried both likes for searching … did not work. Upon checking out ad at bottom for popular showed wings of fire.     Search function is poor, even searched by graphic novels.",Website Filter/Search Options
8/25/2022,Neutral,Finding where my previous orders were listed,Website Performance/Navigation
8/25/2022,Neutral,Could not print letter,Website Performance/Navigation
8/25/2022,Neutral,I have a cart full of books but it won’t attach a teacher to it,Connecting Teacher/Class Code
8/25/2022,Satisfied,"The mobile site is hard to navigate, some buttons were out of reach and the screen won’t resize",Website Mobile Compatibility
8/25/2022,Very Satisfied,"very slow, not loading",Website Performance/Navigation
8/25/2022,Neutral,"Hi.  Books can be difficult to find on your site.  I had this issue today.  I typed in the exact title and no results.  I had to do a Google search and used that to then sign in and add the book pack.  Also, at checkout I typed in another book's title to receive it free with the code.  It didn't appear.  So then I started to search by grade and after I searched a bit in the books that populated, it was a choice.  Please improve.  Thank you.",Website Filter/Search Options
8/25/2022,Neutral,"I am disappointed that you no longer offer more incentives for teachers based on class order. This year, the maximum teachers can earn to spend for classroom books is only $10, and in the past it was a lot more. I will be placing a class order of around $200, and I used to receive at least $25 to spend for my class library. Distributing flyers, organizing orders, sending reminders, and distributing books to students takes up valuable time, and $10 is not much incentive. Also, I used to purchase the birthday coupons for my students, but they are worthless now as most of your popular books increased to $6, and the coupon are limited to books up to $5.",All Other
8/25/2022,Neutral,How do I share a public link for my class without sending an email?,Website Performance/Navigation
8/25/2022,Very Satisfied,Nice site. Great user experience. Much easier than paper.,Thanks/Praise
8/25/2022,Very Satisfied,I love book clubs!,Thanks/Praise
8/25/2022,Very Satisfied,"Easy navigation, good selection of books",Thanks/Praise
8/25/2022,Satisfied,Hard to search for books there's gotta be a better way.,Website Filter/Search Options
8/25/2022,Satisfied,Can you show which are the dollar deal books in addition to the other value packs?,Price
8/25/2022,Very Satisfied,PRAYING SHIPPING IS NOW FASTER WITH COVID  LAST YEAR ONLY GOT TO ORDER ONE TIME THROUGH THE SCHOOL TO HELP OUT TEACHER CAUSE THE SHIPPING WAS SO LONG WE FEARED WE WOUDLN'T GET BOOKS BY THE TIME SCHOOL WAS OUT FOR SUMMER.   WE GOT CHRSISTMAS BOOKS IN FEBRUARY.  HOPING THIS IS A BETTER YEAR FOR BOOK ORDERS,Hopeful Shipping Improves this Year
8/25/2022,Very Satisfied,Shopping for my granddaughter,Thanks/Praise
8/25/2022,Satisfied,Did not find my school in the search engine. Found the link my teacher gave me and that worked.,Connecting Teacher/Class Code
8/25/2022,Neutral,Site is hard to navigate.,Website Performance/Navigation
8/25/2022,Very Satisfied,Like the site and ability to connect to the classroom. Easy to use and checkout was was smooth.,Thanks/Praise
8/25/2022,Very Satisfied,Overall easy use experience,Thanks/Praise
8/25/2022,Satisfied,I love that I can earn rewards and get books for my classroom,Thanks/Praise
8/25/2022,Very Satisfied,Ease of use,Thanks/Praise
8/25/2022,Very Satisfied,So glad this is offered at the school we are attending. We love books!,Thanks/Praise
8/25/2022,Very Disappointed,The site is NOt helpful,All Other
8/25/2022,Very Disappointed,"It was an act of God to actually log into this website. My password, which I know is my password,  was no longer my password.  So I opted to change it. The NEW password I had just set was not a valid password either. Third time IS the charm! So I was finally able to log in to make a purchase. The navigation is terrible! Where is your home? Do you have a home? My daughter wanted to look as pencils and cute stationary items, but we were unable to find any direction to get us there. So instead of spending about 100 bucks, we spend less than 40.",Website Performance/Navigation
8/25/2022,Satisfied,Need a easier way to look up books,Website Filter/Search Options
8/25/2022,Neutral,"Only difficulty is that when I type in ""scholastic books"" I get to the main site - but then when I go to place my order, I realize I'm not connected to my children/teachers (even when logged in) and have to go find the other web address.  Likely not an easy solve either, so it just is what it is.  I tried to remember to bookmark the school page instead for future.","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
8/25/2022,Very Satisfied,I wasn’t sure how to add to the previously submitted order.,Website Performance/Navigation
8/25/2022,Neutral,Not the easiest to navigate on a phone.,Website Mobile Compatibility
8/25/2022,Neutral,"Puting in my order was great, the help I received to cancel my previous order was fantastic, but my rewards was not so good. After I canceled my previous order, I went in to replace my order and spent $150’ish in books but was not offered my $10 free reward for a book or the free 2-3rd grade free bundle of books. How do I take advantage of my extra rewards, especially since I spent more than $150 in books?",Bonus Points/Rewards/Promos
8/25/2022,Neutral,I always have trouble finding what section I need to be in to purchase books through my daughter’s school,"Unfamiliar with Different Sites (BC, SSO, TSO etc)"
8/25/2022,Very Satisfied,Super easy to use! I was very impressed.,Thanks/Praise
8/25/2022,Neutral,The site wouldn’t let me choose a free book. I want There was an old lady that swallowed leaves.,Bonus Points/Rewards/Promos
8/25/2022,Very Disappointed,I ordered the books since 8/11 & still haven’t received them,Delayed Shipping/Delivery
8/25/2022,Very Satisfied,Simple and easy to use,Thanks/Praise
8/25/2022,Neutral,"Site is not streamlined, not easy to understand",Website Performance/Navigation
8/25/2022,Satisfied,Looking forward to timely book deliveries.,Hopeful Shipping Improves this Year
8/25/2022,Neutral,Had trouble getting back to the home/landing page with book selections.,Website Performance/Navigation
8/25/2022,Very Satisfied,It was easy to order books for my students and direction on the site was clear to follow. I am eager to earn more points for my classroom library! I enjoyed being online I even recommended a fellow teacher to join!,Thanks/Praise
8/25/2022,Satisfied,If the fonts on the paper sheet can be bigger will be great.,Kits
8/25/2022,Very Satisfied,It took me to this survey before I was finished with my order.,Interrupted by Survey Pop-up
8/25/2022,Satisfied,"I wish more books were available on the book clubs site. Often certain series are not. Also, I wish that the acorn and branches books were more available on this site and that they were promoted more.",Products Offered/Availability
8/25/2022,Neutral,Just trying to figure out how things work,All Other
8/25/2022,Neutral,"I miss being able to buy and find book regularly for $1. I like to buy my students books, but paying $2 or more per child is too expensive when I have 25 kids. Also to get to the ""dollar"" section you have to spend a lot (I think its $75)  just to get to the ""dollar"" section.  I thought last year was bad when it was hard to find $1.50 books. Its sad because I would be able to buy more books on a regular basis if they were cheaper.  Looks like I will be cutting back on my book purchases this year, and will have to buy my students other types of presents that are more affordable. Or hopefully you all have some value packs that are equivalent to dollar books? Fingers crossed.",Price
8/25/2022,Very Satisfied,Fast and  Very easy to navigate,Thanks/Praise
8/25/2022,Satisfied,I wish the catalogs would be sent automatically,Kits
8/25/2022,Very Satisfied,It would be nice to see how many points you contribute to your child’s class after you put in your order,Website Performance/Navigation
8/25/2022,Neutral,Very good site,Thanks/Praise
8/25/2022,Very Satisfied,Love this site,Thanks/Praise
8/25/2022,Satisfied,"When attempting to purchase books, the page kept  freezing before I could purchase.",Website Performance/Navigation
8/25/2022,Very Satisfied,Super easy and fast to get started,Thanks/Praise
8/25/2022,Very Satisfied,I could not find the title I was looking for. I order it last year but my order arrived too late to give to that class so now I need 3 more to use with this class. Very disappointing,Products Offered/Availability
8/25/2022,Satisfied,I wish there was a better selection of books. I would also like to see things like bookmarks and other trinkets that are usually offered at book fairs.,Products Offered/Availability
8/25/2022,Satisfied,I had a hard time understanding where to put my class code,Connecting Teacher/Class Code
8/25/2022,Very Satisfied,Easy to order and review site.,Thanks/Praise
8/25/2022,Very Satisfied,Love it better than paper,Thanks/Praise
8/25/2022,Disappointed,"I searched for the book ""Number the Stars"" and got weird results.  Not helpful.",Website Filter/Search Options
8/25/2022,Very Disappointed,The website is so clunky and frustrating that I stopped using it and didn’t end up ordering. I needed to find the latest book club brochure and couldn’t search the website by the book number on the brochure given out by the school.,Website Filter/Search Options
8/25/2022,Satisfied,I wish shipping was a little faster but I understand it’s been hard.,Hopeful Shipping Improves this Year
8/25/2022,Neutral,"The first site I went to was not correct for what I needed which was ship to school. A little hard to navigate the site.  I’m  Not exactly sure even what I would say I was looking for.. but I was trying to order as a parent but connect to teacher and ship to school. It was kinda hard to get there for some reason. First time having this issue, seems the site is updated from last time I accessed it.","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
8/25/2022,Very Satisfied,"Good site, easy to search or add books by item number. Works well and not overly complicated as some others are.",Thanks/Praise
8/25/2022,Very Satisfied,Purchasing was extremely easy,Thanks/Praise
8/25/2022,Neutral,Not easy to find where to put school/teacher code,Connecting Teacher/Class Code
8/25/2022,Very Satisfied,"Scholastic always has great prices and I love when there are coupons, or free books when you purchase so many others.",Thanks/Praise
8/25/2022,Very Satisfied,I’m in the process of doing this.,All Other
8/25/2022,Satisfied,Please make tutorials easier to read. It was just very harsh to read.,All Other
8/25/2022,Very Satisfied,Selecting books is easy and the flyer helps out so much!,Thanks/Praise
8/25/2022,Disappointed,"I sold Scholastic books to my classes for probably at least 10 years.  Two years ago I had a small class and sold very little, the next year I didn't sell any books.  I am now able to sell again and when I checked my account I do not see any points.  Scholastic kept my user name and password but cancelled my points!?  Did someone else use them?  Can someone tell me where my points are  or when they were used?  Thanks!",Bonus Points/Rewards/Promos
8/25/2022,Very Satisfied,Always easy using this page,Thanks/Praise
8/25/2022,Very Satisfied,Excited to get our books!,Thanks/Praise
8/25/2022,Satisfied,I found it fairly easy to navigate through the website.,Thanks/Praise
8/25/2022,Very Satisfied,Site was easy to work and was quick and easy.,Thanks/Praise
8/25/2022,Disappointed,Unable to pick a book for the READS promotion.  My code is accepted but am not able to pick a book,Bonus Points/Rewards/Promos
8/25/2022,Very Satisfied,Very easy and guided me to find books,Thanks/Praise
8/25/2022,Very Satisfied,I have purchased Scholastic books for years and have always had great service.  Last year was the exception.  It took forever to get the books. I understand it had a lot to do with the pandemic. Parents stopped ordering because it took so long.  I really trust that this year will be better. Thank you for your timep!🙂,Hopeful Shipping Improves this Year
8/25/2022,Satisfied,I accidentally deleted a book because it doesn’t line up with the book I wanted to delete.,All Other
8/25/2022,Satisfied,Search engine could be better,Website Filter/Search Options
8/25/2022,Neutral,I still cannot how to add funds to the ewallet. Someone using your website should not have to google how to add money or anything else for that matter.,Website Performance/Navigation
8/25/2022,Very Satisfied,Great and easy,Thanks/Praise
8/25/2022,Very Satisfied,"It was very easy to set up an account and place my order for my Grandson, Liam, and his class.",Thanks/Praise
8/25/2022,Satisfied,Everything the catalog and teacher said to do worked! I love that.,Thanks/Praise
8/25/2022,Neutral,I wish there was more variety,Products Offered/Availability
8/25/2022,Satisfied,It would not print my parent letter. I got an error message.,Website Performance/Navigation
8/25/2022,Very Satisfied,"I've found everything I wanted to order, I am now just waiting to show our daughter and let her pick out some  Books she likes.",Thanks/Praise
8/25/2022,Very Satisfied,Very easy to use and prices were reasonable very grateful.,Thanks/Praise
8/25/2022,Neutral,"I wanted to use my $5 book to get a book from teacher's wish list, but that wasn't available as an option. I can get the book for my child, but there was no way to note that it was for the teacher.",All Other
8/25/2022,Satisfied,Free book titles could be where you could see whole title,All Other
8/25/2022,Very Satisfied,great and easy to use.,Thanks/Praise
8/25/2022,Neutral,Page seems very glitchy.  Kept putting my books in for 4 books at a time. Otherwise ok though.,Website Performance/Navigation
8/25/2022,Satisfied,Love putting in the item numbers rather than having to search,Thanks/Praise
8/25/2022,Satisfied,"Hard to figure out where to enter the class activation code. This survey popped up before I could do any shopping,",Connecting Teacher/Class Code
8/25/2022,Neutral,"Because I am an educator and order books for my own classroom, I had to plug in my husband's email address or it wouldn't let me go any further without taking me  to a different book club.  Not a big deal.  When one is determined to order books for one's grandson, it will happen.",All Other
8/25/2022,Disappointed,It was very difficult to find the correct part of the website to connect to my child's teacher and I only found it after shopping the 'parent store' by mistake. And then the book that my child had chosen wasn't available in both sections no matter how I searched. It was extremely frustrating.,Connecting Teacher/Class Code
8/25/2022,Satisfied,"""Find your child's teacher"" should be prominently displayed as indicated by the order form.",Connecting Teacher/Class Code
8/25/2022,Very Satisfied,It was very easy to create an account and connect with our teacher page.,Thanks/Praise
8/25/2022,Neutral,I could not get the page to lift so i could get to the bottom of the page.,Website Performance/Navigation
8/25/2022,Neutral,"It is frustrating to look for books in different genres.  Yes, you can use the search to find authors, but you are lacking many great authors like Stuart Gibbs and Trenton Lee Stewart, just to name a few.  Plus, your selection of nonfiction books is not good.  My sons love reference books, but you have hardly any and the ones you do have aren’t the best.  Why don’t you have more DK Publishing?      The only reason I’m ordering anything is to support my sons’ teachers.",Website Filter/Search Options
8/25/2022,Neutral,It took me a while to figure out how to find the monthly magazine that was provided to the class so I could more easily place my order.,Website Performance/Navigation
8/25/2022,Neutral,I haven’t even placed my order yet and I’m having to take the survey. It would make more sense to do it after I placed the order.,Interrupted by Survey Pop-up
8/25/2022,Neutral,Hard to navigate on a mobile device,Website Mobile Compatibility
8/25/2022,Satisfied,Easy peasy,Thanks/Praise
8/25/2022,Very Satisfied,"Easy to navigate, easier with a paper flyer of the books to enter item numbers.",Kits
8/25/2022,Satisfied,"I tried to enter the coupon code for 500 extra points today so I wouldn't forget to do it when I placed my order.  The site would not allow me to do that.  Hopefully, I will remember.  It would be really nice if Scholastic automatically entered in coupon codes for things that a teacher earns from you.  We have so many things to keep up with.  It would be nice to have that done for us.  It would be a great perk which all teachers would appreciate.  Thank you.",Bonus Points/Rewards/Promos
8/25/2022,Satisfied,Easy to use website,Thanks/Praise
8/25/2022,Very Satisfied,Loved it!,Thanks/Praise
8/25/2022,Satisfied,"on the book preview pages, it would be nice if there was enough resolution to actually read the text.",All Other
8/25/2022,Neutral,I was previously registered as a teacher but need to disable that account so I can order for my child.,All Other
8/25/2022,Satisfied,"With the various sites, I could not figure out where to pair my child's classroom with my order. I did eventually make my way to the correct spot. The book pack that I wanted to buy was not available on the page associated with my child's classroom and was available on other sites.",Connecting Teacher/Class Code
8/25/2022,Very Satisfied,Not sure yet.,All Other
8/25/2022,Very Satisfied,My daughter loves books. Helps with her reading and it’s fun to choose a book to read for her weekly book reports.,Thanks/Praise
8/25/2022,Neutral,I find navigating the magazine online tricky. it would be easier if we could click on an item on the catalog page and it would take us to an order option.,Website Performance/Navigation
8/25/2022,Satisfied,I would love to see a wider variety of chapter books over comic books.,Products Offered/Availability
8/25/2022,Neutral,I received a $25 gift card at the end of last school year and I'm unable to find it to use it.,All Other
8/25/2022,Very Satisfied,Everything was very easy,Thanks/Praise
8/25/2022,Disappointed,I don't feel the descriptions give enough information about what the content in the books are.,Thanks/Praise
8/25/2022,Neutral,There should be a section for clearance books.,Price
8/25/2022,Disappointed,I couldn't find teachers name so I guess not all teachers have account.,Connecting Teacher/Class Code
8/25/2022,Neutral,"I did not like the selection of books I could choose from for the $10 spend now. In years past, I could search for books and add them to my order. This time it would not let me. I did not get to use my $10 spend now.",Products Offered/Availability
8/25/2022,Satisfied,More discount books for teachers to order for their classroom would be nice,Price
8/25/2022,Satisfied,I could not connect to my child’s new 3rd grade teacher at her school.   Please reach out to schools to encourage all teachers (especially new ones) to sign up for a class book club here.  Thank you!,Connecting Teacher/Class Code
8/25/2022,Satisfied,Easy once I remembered my password,Thanks/Praise
8/25/2022,Very Satisfied,I always appreciate the extra points to purchased books for my students and library. Thank you scholastic!,Thanks/Praise
8/25/2022,Neutral,The search bar & criteria has been severely downgraded.,Website Filter/Search Options
8/25/2022,Satisfied,"I would like to find my children's teacher, but I am unable at this time.",Connecting Teacher/Class Code
8/25/2022,Satisfied,I usually order every month. Last year I only ordered once because it took almost 6 weeks to get our order back nd parents became frustrated as did I. I hope these issue won't be a problem this year.,Hopeful Shipping Improves this Year
8/25/2022,Very Satisfied,I am the Library Media Specialist at the Baltimore Digital Harbor High School. I am looking for chapter books for my LMC. I am hoping that our new principal will give me a budget for it.  I was also wondering if you have book fairs for High Schools?,Products Offered/Availability
8/25/2022,Neutral,"Searching for content online is not user friendly. It is not easy to find description and rating/reviews on content. Also, the site is not organized, it is not easy to find all age appropriate topics.",Website Filter/Search Options
8/25/2022,Neutral,"There used to be a Spanish option to send to parents. This was extremely helpful, and I'm sure other translations would be as well. Maybe I just can't find it?",Website Performance/Navigation
8/25/2022,Neutral,Can't remember PayPal password.,All Other
8/25/2022,Neutral,It would be nice to see some Christian based books,Products Offered/Availability
8/25/2022,Neutral,Why don't I receive monthly scholastic flyers anymore?,Kits
8/25/2022,Neutral,Takes long,All Other
8/25/2022,Very Satisfied,Been using Scholastic Book Clubs for a long time for my grandchildren.  Have always found what they wanted with no problems..,Thanks/Praise
8/25/2022,Satisfied,"The site times me out too quickly and if something isn’t in my cart then I have to search for it again. Also, the coupon code falls out of the cart and I have to delete the free book (because it’s no longer free without the coupon), re-add the coupon, select the free book again.",Website Performance/Navigation
8/25/2022,Satisfied,Was tricky at first but did finally get to the page that I needed to!,Website Performance/Navigation
8/25/2022,Very Satisfied,I was disappointed to see that the coupons I had been receiving via email were not accepted through the book club.,Bonus Points/Rewards/Promos
8/25/2022,Very Satisfied,"Some of the digital magazines, I had to refresh but it was no issue.  It also could have been the computer I was using.",Website Performance/Navigation
8/25/2022,Satisfied,I haven’t finished,Interrupted by Survey Pop-up
8/25/2022,Satisfied,I have a teacher account but I can’t create an account as a parent.,Website Performance/Navigation
8/25/2022,Neutral,For some reason the site signed me up as an educator,Website Performance/Navigation
8/25/2022,Neutral,Ordered books from Scholastic when my children were young. Now I've been enjoying ordering them for my grandson for 4 yrs. too.,Thanks/Praise
8/25/2022,Neutral,We love the book fair and flyers!,Thanks/Praise
8/25/2022,Satisfied,I was not able to look inside many of the book!,All Other
8/25/2022,Satisfied,I’m still in the middle of trying to order.,Interrupted by Survey Pop-up
8/25/2022,Satisfied,My saved book lists for my children from last year were removed. I would prefer to keep my saved book lists into the new school year and edit the list myself as my children interests change.,All Other
8/25/2022,Satisfied,Website was challenging when finding my child’s teacher - I didn’t understand that I should order from Book Club and not just Order-,Connecting Teacher/Class Code
8/25/2022,Neutral,Not easy to just get to a list of books,Website Filter/Search Options
8/25/2022,Satisfied,"I was not able to find the book ""Color Monster"" or any of the books in the series",Products Offered/Availability
8/25/2022,Very Satisfied,I like the feature where you can look through the flyers and order from there. Very cool and easy to use!,Thanks/Praise
8/25/2022,Neutral,Don’t like the selection of books! I don’t need you pushing WOKE narrative!  The Language of Seabirds? Totally inappropriate! I won’t be buying this bs! Who thinks a 3rd grader needs this book? I’m out Scholastic!,Products Offered/Availability
8/25/2022,Neutral,"No issues, but wish we still had the ship to home option as I ordered a few larger items that may be difficult for my kiddo to transport home with her.",Ship to Home
8/25/2022,Very Satisfied,Search option is awesome. Easy to use site.,Thanks/Praise
8/25/2022,Very Satisfied,Got it & that a miracle in itsself!!,Thanks/Praise
8/25/2022,Disappointed,Cannot locate what I need,Products Offered/Availability
8/25/2022,Satisfied,I'd love to see a wider range of books for middle graders/middle schoolers! There's a bit of a gap in the maturity levels of the books. But I do appreciate the diversity variety!,Products Offered/Availability
8/25/2022,Satisfied,Scrolling to find free books is time consuming. Would be helpful if they were organized by genre.,Website Filter/Search Options
8/25/2022,Satisfied,Could be easier finding where to enter the teachers code-,Connecting Teacher/Class Code
8/25/2022,Satisfied,The website worked well once I got used to the format. Once I understood the format the shopping experience was fun and being able to look at the books was helpful.,Thanks/Praise
8/25/2022,Very Satisfied,Very easy to do... Love it when it's not completed... Thank you!!!,Thanks/Praise
8/25/2022,Very Satisfied,Muy bonitos libros para leer a mi hija,Thanks/Praise
8/25/2022,Very Satisfied,"Being a child who loved when scholastics book fair came to my schools, I’m so happy as a parent now that they still have this amazing chance for this generation to experience the joy of buying books and making it digital is so convenient",Thanks/Praise
8/25/2022,Very Satisfied,I am a little disappointed that I only received one flyer  for the beginning of the year. I have been a member for years. I need to wait before sending home the first flyers.,Kits
8/25/2022,Very Satisfied,love the new and improved site!!,Thanks/Praise
8/25/2022,Very Satisfied,It was very easy to view and find what I was looking for in the flyers,Thanks/Praise
8/25/2022,Neutral,Could not figure out how to order paper catalogs for my class! Called and told it as at bottom of home page.  Could not find.  Very frustrated!,Kits
8/25/2022,Satisfied,It would be ideal if you could accept payments from cards registered in another country.    My employer pays me in UK £ so I have to kee my bank in sterling pounds. This site only accepts US debit and credit cards or US PayPal.,Account Balance/Payment
8/25/2022,Neutral,"The code given by teacher,, not sure if it gives discount or not. It did not work.",Connecting Teacher/Class Code
8/25/2022,Very Satisfied,Easy ordering with the item #,Thanks/Praise
8/25/2022,Very Satisfied,I love that I can select each of my children's teacher's and they get the credit for their student.,Thanks/Praise
8/25/2022,Satisfied,"when I was in the teacher resources and looked at an item, the back button took me to the home page .",Website Performance/Navigation
8/25/2022,Very Disappointed,"It is VERY hard to determine from this site whether a book is at an appropriate level. You provide like five different level systems, and do not normalize them in a user-friendly way. The page eplaining the systems is incomplete, and inconvenient to flip back and forth. How hard would it be to say ""reading level: 3rd, content: 4rd-5th""?    Also, your filters are ineffective. When I restrict to ""chapter books"", I do not expect any comic books or graphic novels to appear.",Website Filter/Search Options
8/25/2022,Neutral,Your survey keeps interrupting me,Interrupted by Survey Pop-up
8/25/2022,Satisfied,From the grade level digital catalog I could not add books to wish list. The heart would not open the link to click the box for the selection. I had to go into wish list and search each book title.,Website Performance/Navigation
8/25/2022,Very Satisfied,Easy to place class order,Thanks/Praise
8/25/2022,Very Satisfied,No issues.  Website is very easy to navigate and love your prices!,Thanks/Praise
8/25/2022,Satisfied,Choosing a free book is not user friendly,All Other
8/25/2022,Neutral,It was a bit cumbersome...,All Other
8/25/2022,Neutral,"I'm still browsing, but so far so good!",Interrupted by Survey Pop-up
8/25/2022,Very Satisfied,It was difficult to navigate to my childrens profiles to update my sons teacher for this school year.,Connecting Teacher/Class Code
8/25/2022,Neutral,I'd like to try and order an ipad.  I'd like to know how long it will take it to  arrive.  I don't want to wait an extended period of time.,All Other
8/25/2022,Satisfied,Connecting to a teacher. I couldn't see the button at the bottom.,Connecting Teacher/Class Code
8/25/2022,Very Satisfied,It’d be nice if to gift the teachers,Thanks/Praise
8/25/2022,Satisfied,There seem to be a lot of different ways to code what reading level the books are. It's kind of confusing and hard to figure out what all the different codes mean. I wound up Googling the different acronyms and what they possibly meant.,All Other
8/25/2022,Satisfied,It is confusing when you are supposed to pick your books earned. I chose before checking out and had to go back to delete them. Then I picked from the list allowed during checkout.,Website Performance/Navigation
8/25/2022,Very Disappointed,Site does not present books grouped in useful categories. Site does not provide information about the books. Books are overpriced.,Website Filter/Search Options
8/25/2022,Neutral,"When ordering a free book with a coupon code, the pop up to select the free book made it where I could not access the button at the bottom right corner to finalize my selection. I used an iphone and both the safari and chrome browsers. It was impossible to select with safari, but in the chrome one I was able to just barely see the top sliver of the button and click it.",Website Mobile Compatibility
8/25/2022,Neutral,"I’ve tried for the last few weeks to make the READS promo code work, and it keeps saying it is expired. I have $30 in the cart to order through my child’s teacher, so I’m not sure what the issue is.",Bonus Points/Rewards/Promos
8/25/2022,Satisfied,A little tricky to link student with his class code.I overlooked that I had to click edit on students name.,Connecting Teacher/Class Code
8/25/2022,Disappointed,Entered teacher code and child name twice. And why is this survey required?,Interrupted by Survey Pop-up
8/25/2022,Disappointed,Can’t read previews. Too blurry,All Other
8/25/2022,Satisfied,Hope the kid learning and fun,Thanks/Praise
8/25/2022,Satisfied,Love the selection.  Love all the different ways to find the right book for my child.  Love the free book promo and that I can leave a donation.,Thanks/Praise
8/25/2022,Satisfied,Need more help for appropriate books for my 14 year old granddaughter,Products Offered/Availability
8/25/2022,Very Satisfied,Great website!,Thanks/Praise
8/25/2022,Very Satisfied,Parent friendly,Thanks/Praise
8/25/2022,Satisfied,Rating below depends on how quickly items ship.  I am hoping it goes smoother than last year did.,Hopeful Shipping Improves this Year
8/25/2022,Very Satisfied,"I wish there were some titles that are not available... such as boxcar children, disney chills,  and treasure seekers",Products Offered/Availability
8/25/2022,Very Disappointed,Site keeps taking me to a different class after my teacher shows. I signed into my account and then it does not allow me to access the teachers class or I cannot find it. Very difficult site to use and an upset 4 year old is with me.,Website Performance/Navigation
8/25/2022,Satisfied,Wasn’t finished ordering and it went to this customer satisfaction site and I couldn’t get it to go back to order.,Interrupted by Survey Pop-up
8/25/2022,Satisfied,Simple,Thanks/Praise
8/25/2022,Satisfied,It is good.,Thanks/Praise
8/25/2022,Disappointed,The site is not friendly to the process of buying and searching fotmr stuff. The feeling is like desorganize . But I love the concept and the pueposr .,Website Filter/Search Options
8/25/2022,Neutral,I hope deliveries are much faster this school year.  I had very few orders last year because parents were disappointed with waiting months for books.,Hopeful Shipping Improves this Year
8/25/2022,Satisfied,It would be helpful to be able to add to the cart without having to click into the book profile.,Website Performance/Navigation
8/25/2022,Neutral,Trying to enter the code READS as offered on the homepage for a free book with order.,Bonus Points/Rewards/Promos
8/25/2022,Neutral,"Put the survey before I was able to order,   Putting the survey after would be better",Interrupted by Survey Pop-up
8/25/2022,Satisfied,"It should be easier to see all scholastic books and sort by price rather than having to go to the specific grade, remove filter, and then sort by price.",Website Filter/Search Options
